row,col,value
6,1,3.52416209272e-16
6,2,-2.12072250370e-12
6,3,0
6,4,1.86810388965e-15
6,5,-9.72243695479e-15
6,6,235.862447615926
6,7,-3.98944606155e-15
6,8,-1.40861093178e-14
6,9,1.19269228225e-14
6,10,4.61192174189e-14
6,11,-2.89715844641e-15
6,12,-6.33126216395e-15
6,13,-7.86331771936e-13
6,14,-3.16255865494e-16
6,15,-3.26255561617e-14
6,16,-1.90711160160e-14
6,17,-1.59368927510e-13
6,18,2.36687540477e-14
6,19,8.08709463330e-15
6,20,2.08890391517e-14
6,21,4.70312384042e-14
6,22,8.59078533967e-15
6,23,-5.13755101119e-14
6,24,-7.27625648624e-14
6,25,2.02557479852e-14
6,26,-3.76332793987e-14
6,27,5.21969591985e-15
6,28,5.77221938000e-14
6,29,2.87051697433e-14
6,30,4.01141341420e-14
6,31,-2.60328092665e-14
6,32,-2.92086187613e-14
6,33,-1.42644375671e-12
6,34,2.13493335842e-12
6,35,-2.13493335842e-12
6,36,-2.11437777301e-12
6,37,-2.08286284230e-12
6,38,-406.3082262421431
6,39,-2.12671401299e-12
6,40,-2.09757670137e-12
6,41,-2.13216268608e-12
6,42,-2.19177677728e-12
6,43,-2.11483412391e-12
6,44,-2.07378203698e-12
6,45,0
6,46,-2.12614198678e-12
6,47,-2.03152315027e-12
6,48,-2.09983613574e-12
6,49,-1.78110792033e-12
6,50,-2.16370067583e-12
6,51,-2.14526397257e-12
6,52,-2.15522442144e-12
6,53,-2.26514346402e-12
6,54,-2.14890591023e-12
6,55,-1.98772384001e-12
6,56,-1.98126618031e-12
6,57,-2.15057294395e-12
6,58,-2.07921305041e-12
6,59,-2.10711865233e-12
6,60,-2.20479931757e-12
6,61,-2.20062163970e-12
6,62,-2.16878733821e-12
6,63,-2.07889806519e-12
6,64,-2.08976731888e-12
6,65,0
7,1,4.73872138717e-31
7,2,3.21358438663e-12
7,3,0
7,4,4.71175972067e-15
7,5,-3.19155684924e-15
7,6,-3.98944606155e-15
7,7,3274.222758078065
7,8,-1.67170165012e-13
7,9,4.40771914638e-14
7,10,4.24058374860e-14
7,11,-6.38311369848e-15
7,12,3.51745461667e-14
