phi,wald,p_value
-0.35999999999999766,1211.6497360404585,0.0
-0.33999999999999764,1274.8834320592468,0.0
-0.3199999999999976,1337.7286956131047,0.0
-0.2999999999999976,1399.6732081960872,0.0
-0.2799999999999976,1460.1873240691405,0.0
-0.25999999999999757,1518.7369706271775,0.0
-0.23999999999999755,1574.7977317863379,0.0
-0.21999999999999753,1627.8694141028068,0.0
-0.1999999999999975,1677.4903009401153,0.0
-0.1799999999999975,1723.2502750086198,0.0
-0.15999999999999748,1764.8020422954933,0.0
-0.13999999999999746,1801.869818267321,0.0
-0.11999999999999744,1834.2550267471408,0.0
-0.09999999999999742,1861.8387905719499,0.0
-0.0799999999999974,1884.5812334463149,0.0
-0.05999999999999739,1902.5178364085903,0.0
-0.03999999999999737,1915.7532763498411,0.0
-0.019999999999997353,1924.4533020432025,0.0
2.6645352591003757e-15,1928.8352683643775,0.0
0.020000000000002682,1929.1579539755899,0.0
0.0400000000000027,1925.7112410104678,0.0
0.06000000000000272,1918.806150997212,0.0
0.08000000000000274,1908.7656247544926,0.0
0.10000000000000275,1895.916319802484,0.0
0.12000000000000277,1880.58158891128,0.0
0.1400000000000028,1863.0757063053834,0.0
0.1600000000000028,1843.6993287626149,0.0
0.18000000000000282,1822.7361192697037,0.0
0.20000000000000284,1800.4504204894201,0.0
0.22000000000000286,1777.0858419023536,0.0
0.24000000000000288,1752.8646150794334,0.0
0.2600000000000029,1727.9875728059894,0.0
0.2800000000000029,1702.6346165425846,0.0
0.30000000000000293,1676.96555019791,0.0
0.32000000000000295,1651.1211741507839,0.0
0.34000000000000297,1625.2245501799807,0.0
0.360000000000003,1599.3823642323398,0.0
0.380000000000003,1573.6863289980415,0.0
0.400000000000003,1548.214581623539,0.0
0.42000000000000304,1523.0330433874972,0.0
0.44000000000000306,1498.196717781854,0.0
0.4600000000000031,1473.7509112833407,0.0
0.4800000000000031,1449.7323673425171,0.0
0.5000000000000031,1426.1703089622506,0.0
0.5200000000000031,1403.0873888974984,0.0
0.5400000000000031,1380.5005491873064,0.0
0.5600000000000032,1358.421793614336,0.0
0.5800000000000032,1336.85887794113,0.0
0.6000000000000032,1315.815923536081,0.0
0.6200000000000032,1295.2939603930329,0.0
0.6400000000000032,1275.2914056625941,0.0
0.6600000000000033,1255.8044837278019,0.0
0.6800000000000033,1236.827593632637,0.0
0.7000000000000033,1218.3536293563723,0.0
0.7200000000000033,1200.3742580559485,0.0
0.7400000000000033,1182.880160999417,0.0
0.7600000000000033,1165.8612415057587,0.0
0.7800000000000034,1149.306803804055,0.0
0.8000000000000034,1133.205706337712,0.0
0.8200000000000034,1117.5464926733964,0.0
0.8400000000000034,1102.3175028333442,0.0
0.8600000000000034,1087.506967555504,0.0
0.8800000000000034,1073.1030876991642,0.0
0.9000000000000035,1059.0941007538122,0.0
0.9200000000000035,1045.468336174953,0.0
0.9400000000000035,1032.2142610609296,0.0
0.9600000000000035,1019.3205174978272,0.0
0.9800000000000035,1006.775952733398,0.0
1.0000000000000036,994.5696431938076,0.0
