row,col,value
20,30,.0002878205857215
20,31,.0005213976949712
20,32,.0001148161510599
20,33,-4.94396750734e-06
20,34,.0004221502166974
20,35,-5.31863135129e-19
20,36,-.0001148161510518
21,1,0
21,2,.0001526824898681
21,3,.0001783017015348
21,4,.000199714826783
21,5,.0002269596220986
21,6,.0001847839189891
21,7,.0002272439454826
21,8,.0002117274926742
21,9,.0002487629111758
21,10,.0002860634737951
21,11,-.0504062228884555
21,12,.0002395860490116
21,13,.0002808110537016
21,14,.0002295440001913
21,15,.0002798038102857
21,16,.0002318988268876
21,17,.0002441157648431
21,18,.0002158198454167
21,19,.0002879814706599
21,20,.000230954171435
21,21,.0046006663220643
21,22,.0002715191040474
21,23,.0001847813179804
21,24,.0002594450939493
21,25,.0002853333350244
21,26,.0002322823420559
21,27,.0003236222540284
21,28,.0002627935948977
21,29,.0003093538135584
21,30,.0002812957578445
21,31,.0004615265472301
21,32,.0000864195796783
21,33,.000362179056999
21,34,.0003578914922697
21,35,-7.50847184638e-19
21,36,-.0000864195796723
22,1,0
22,2,.0001992644483927
22,3,.0002146752700235
22,4,.0002565121562994
22,5,.0002702437585717
22,6,.0002384629258361
22,7,.0002752806277239
22,8,.0002692579567408
22,9,.0002925775629387
22,10,.0003558651564172
22,11,-.0455838705949205
22,12,.0002980303403132
22,13,.0003301738169298
22,14,.0002862280031452
22,15,.0003363078437062
22,16,.0002944986599043
22,17,.0002798327741331
22,18,.0002577480990925
22,19,.0003442073928042
22,20,.0002857294849159
22,21,.0002715191040474
22,22,.0040276076478624
22,23,.0002188645175401
22,24,.0003171902888038
22,25,.000328875314899
22,26,.0002780321459833
22,27,.000392525101702
22,28,.0003211018341935
22,29,.00035100226522
22,30,.0003343689864627
22,31,.0005665894018689
22,32,.0001126189792205
22,33,.000293513479198
22,34,.0004472802248198
22,35,-1.56515305063e-19
22,36,-.0001126189792126
23,1,0
23,2,.0001241002725957
23,3,.0001444201195038
23,4,.0001620691139031
23,5,.0001834591987295
23,6,.000150000724423
23,7,.0001838180398378
23,8,.0001716242948912
23,9,.0002012809587095
23,10,.0002317375196871
23,11,-.0435127574339538
23,12,.0001940439438722
23,13,.0002269821711539
23,14,.0001849578721017
23,15,.000226110456313
23,16,.0001877063068562
23,17,.0001974700742735
23,18,.000174444081664
23,19,.0002330729423471
23,20,.0001870330909727
23,21,.0001847813179804
23,22,.0002188645175401
23,23,.0057752250070719
23,24,.0002099354914983
23,25,.0002302094885284
23,26,.0001877622647251
23,27,.0002623092667326
23,28,.0002119783541272
23,29,.0002489185733308
23,30,.0002256848063596
23,31,.0003696039941761
23,32,.0000700005283814
23,33,.0002877502112162
23,34,.0002899988230239
23,35,-1.92602520886e-19
23,36,-.0000700005283765
24,1,0
24,2,.000212009667686
24,3,.0002084142512027
24,4,.0002685305379915
24,5,.0002591097316193
24,6,.000250884404338
24,7,.0002696494293572
24,8,.0002790108114515
24,9,.0002757390158201
24,10,.0003596249369209
24,11,-.023248519562231
24,12,.0003012164974237
24,13,.0003113406075492
24,14,.0002914030348088
24,15,.0003264658846807
24,16,.0003050506960026
24,17,.0002545925451548
24,18,.0002481036147552
24,19,.0003312862325719
24,20,.000286933282869
24,21,.0002594450939493
24,22,.0003171902888038
24,23,.0002099354914983
24,24,.0006492072047272
24,25,.0003022841247921
24,26,.0002683908075296
24,27,.0003844080404931
24,28,.0003187147069939
