country,spec,delta,phi_hat,stata_point,python_point,abs_err,rel_err,note
TZA,covs_1,always_md,-0.5227347619246775,-0.2734562811053978,-0.28281832539406226,-0.00936204428866444,-0.03423598189377863,
TZA,covs_2,never,-0.5337428582419165,0.3013394300219286,0.2776373759401027,-0.023702054081825907,-0.07865566773024393,
TZA,covs_2,never_md,-0.5337428582419165,0.3013394300219286,0.2966790222732861,-0.004660407748642514,-0.015465642011413424,
TZA,covs_2,avg,-0.5337428582419165,0.1025076791805745,0.08031742355114856,-0.022190255629425948,-0.21647408083775116,
TZA,covs_2,avg_md,-0.5337428582419165,0.1025076791805745,0.09935906988433195,-0.003148609296242555,-0.030715838280720976,
TZA,covs_2,avg_overall,-0.5337428582419165,0.1025076791805745,0.009173678399844887,-0.09333400078072962,-0.9105074032191793,
TZA,covs_2,always,-0.5337428582419165,-0.2886409837607958,-0.33920460856806134,-0.05056362480726556,-0.17517825829324687,
TZA,covs_2,always_md,-0.5337428582419165,-0.2886409837607958,-0.298365241987242,-0.009724258226446236,-0.033689804198093296,
TZA,covs_all,never,-0.7190333696409438,0.26988591565384,0.2911889872368105,0.021303071582970512,0.07893361730774484,
TZA,covs_all,never_md,-0.7190333696409438,0.26988591565384,0.2765035691958275,0.0066176535419875115,0.024520188561730726,
TZA,covs_all,avg,-0.7190333696409438,0.1058387668320802,0.12580857451838462,0.019969807686304422,0.18868140931751187,
TZA,covs_all,avg_md,-0.7190333696409438,0.1058387668320802,0.11112315647740162,0.005284389645321422,0.04992867739762535,
TZA,covs_all,avg_overall,-0.7190333696409438,0.1058387668320802,0.014369577005163739,-0.09146918982691646,-0.8642314396202105,
TZA,covs_all,always,-0.7190333696409438,-0.6622157415154941,-0.5856383166962834,0.0765774248192107,0.11563818257168233,
TZA,covs_all,always_md,-0.7190333696409438,-0.6622157415154941,-0.637905797792583,0.024309943722911065,0.036710005816650126,
