seed,phi_lo,phi_hi,phi_cov,phi_n_islands,n_lo,n_hi,n_cov,n_n_islands,a_lo,a_hi,a_cov,a_n_islands,t_lo,t_hi,t_cov,t_n_islands
1067,-1.919999999999999,-1.5399999999999987,False,1,2.0000000000000036,2.6600000000000037,False,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.519999999999997,-1.8799999999999963,True,1
1068,-1.799999999999999,-1.4399999999999986,True,1,1.9400000000000035,2.600000000000004,True,1,-0.45999999999999863,-0.3999999999999986,True,1,-2.9599999999999973,-2.1199999999999966,True,1
1069,-1.5799999999999987,-1.2799999999999985,True,1,1.6000000000000032,2.140000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.679999999999998,-2.2799999999999967,True,1
1070,-1.7199999999999989,-1.3999999999999986,True,1,1.7800000000000034,2.360000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.0399999999999974,-2.1599999999999966,True,1
1071,-1.759999999999999,-1.3999999999999986,True,1,1.8200000000000034,2.4600000000000044,True,1,-0.47999999999999865,-0.4199999999999986,True,1,-2.8799999999999972,-1.9999999999999964,True,1
1072,-1.6399999999999988,-1.3399999999999985,True,1,1.7800000000000034,2.320000000000004,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.1199999999999974,-2.1599999999999966,True,1
1073,-1.5799999999999987,-1.2799999999999985,True,1,1.5600000000000032,2.0800000000000036,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-3.559999999999998,-2.1999999999999966,True,1
1074,-1.6399999999999988,-1.3399999999999985,True,1,1.7000000000000033,2.2600000000000033,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.2799999999999976,-2.1599999999999966,True,1
1075,-1.5999999999999988,-1.3399999999999985,True,1,1.8400000000000034,2.3400000000000034,True,1,-0.4399999999999986,-0.37999999999999856,True,1,-3.3599999999999977,-2.2799999999999967,True,1
1076,-1.7399999999999989,-1.3999999999999986,True,1,1.8200000000000034,2.440000000000004,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-2.9199999999999973,-2.0399999999999965,True,1
1077,-1.6399999999999988,-1.3599999999999985,True,1,1.8400000000000034,2.3800000000000043,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-3.3999999999999977,-2.3599999999999968,True,1
1078,-1.5399999999999987,-1.2599999999999985,True,1,1.6200000000000032,2.140000000000004,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.959999999999998,-2.439999999999997,True,1
1079,-1.5999999999999988,-1.2999999999999985,True,1,1.5800000000000032,2.0800000000000036,True,1,-0.45999999999999863,-0.3999999999999986,True,1,-3.4399999999999977,-2.2399999999999967,True,1
1080,-1.6999999999999988,-1.3799999999999986,True,1,1.8200000000000034,2.3800000000000043,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.9599999999999973,-2.0799999999999965,True,1
1081,-1.6799999999999988,-1.3599999999999985,True,1,1.7400000000000033,2.3000000000000043,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.1199999999999974,-2.1599999999999966,True,1
1082,-1.839999999999999,-1.4599999999999986,True,1,1.8800000000000034,2.520000000000004,True,1,-0.4199999999999986,-0.37999999999999856,False,1,-2.519999999999997,-1.8399999999999963,True,1
1083,-1.6599999999999988,-1.3599999999999985,True,1,1.7200000000000033,2.2600000000000033,True,1,-0.45999999999999863,-0.4199999999999986,True,1,-2.9199999999999973,-1.9599999999999964,True,1
1084,-1.759999999999999,-1.4199999999999986,True,1,1.8800000000000034,2.480000000000004,True,1,-0.4199999999999986,-0.35999999999999854,False,1,-2.9599999999999973,-2.0799999999999965,True,1
1085,-1.759999999999999,-1.3999999999999986,True,1,1.7600000000000033,2.3800000000000043,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-2.839999999999997,-1.9999999999999964,True,1
1086,-1.5999999999999988,-1.3199999999999985,True,1,1.7000000000000033,2.220000000000004,True,1,-0.4399999999999986,-0.3999999999999986,True,1,-3.4399999999999977,-2.2799999999999967,True,1
1087,-1.6199999999999988,-1.2999999999999985,True,1,1.7400000000000033,2.3400000000000034,True,1,-0.47999999999999865,-0.4399999999999986,False,1,-3.679999999999998,-2.3599999999999968,True,1
