estname,N_base,N_new,provenance_ok,bit_identical,max_crit_ratio,tier_verdict
grc_idn_cuu_exp_c2,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c2_a,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c2_d,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c2_g,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c2_n,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c3,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c3_a,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c3_d,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c3_g,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_c3_n,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_ca,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_ca_a,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_ca_d,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_ca_g,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_idn_cuu_exp_ca_n,92439,92439,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_c1,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_c1_a,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_c1_d,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_c1_g,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_c1_n,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_c2,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_c2_a,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_c2_d,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_c2_g,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_c2_n,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_ca,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_ca_a,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_ca_d,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_ca_g,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_ca_n,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_ct,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_ct_a,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_ct_d,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_ct_g,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cub_ct_n,23526,23526,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_c1,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_c1_a,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_c1_d,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_c1_g,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
grc_tza_cuu_c1_n,29864,29864,1,1,0.0000000000000000e+00,PASS_BITWISE
