table,panel,row,col,old,new,delta
OLS_consumption_urban_bal.tex,China,Observations,1,56855,56852,-3.000
OLS_consumption_urban_bal.tex,China,Observations,2,56855,56852,-3.000
OLS_consumption_urban_bal.tex,China,Observations,3,56855,56852,-3.000
OLS_consumption_urban_bal.tex,China,Observations,4,56855,56852,-3.000
OLS_consumption_urban_bal.tex,China,Observations,5,4664,4664,+0.000
OLS_consumption_urban_bal.tex,China,Observations,6,56855,56852,-3.000
OLS_consumption_urban_bal.tex,China,Individuals,1,14214,14213,-1.000
OLS_consumption_urban_bal.tex,China,Individuals,2,14214,14213,-1.000
OLS_consumption_urban_bal.tex,China,Individuals,3,14214,14213,-1.000
OLS_consumption_urban_bal.tex,China,Individuals,4,14214,14213,-1.000
OLS_consumption_urban_bal.tex,China,Individuals,5,1166,1166,+0.000
OLS_consumption_urban_bal.tex,China,Individuals,6,14214,14213,-1.000
OLS_consumption_urban_bal.tex,Tanzania,Urban,1,0.691,0.726,+0.035
OLS_consumption_urban_bal.tex,Tanzania,Urban,2,0.691,0.726,+0.035
OLS_consumption_urban_bal.tex,Tanzania,Urban,3,0.672,0.712,+0.040
OLS_consumption_urban_bal.tex,Tanzania,Urban,4,0.495,0.537,+0.042
OLS_consumption_urban_bal.tex,Tanzania,Urban,5,0.116,0.119,+0.003
OLS_consumption_urban_bal.tex,Tanzania,Urban,6,0.090,0.106,+0.016
OLS_consumption_urban_bal.tex,Tanzania,Observations,1,23526,23526,+0.000
OLS_consumption_urban_bal.tex,Tanzania,Observations,2,23526,23526,+0.000
OLS_consumption_urban_bal.tex,Tanzania,Observations,3,23526,23526,+0.000
OLS_consumption_urban_bal.tex,Tanzania,Observations,4,23526,23526,+0.000
OLS_consumption_urban_bal.tex,Tanzania,Observations,5,3414,3414,+0.000
OLS_consumption_urban_bal.tex,Tanzania,Observations,6,23526,23526,+0.000
OLS_consumption_urban_bal.tex,Tanzania,Individuals,1,7842,7842,+0.000
OLS_consumption_urban_bal.tex,Tanzania,Individuals,2,7842,7842,+0.000
OLS_consumption_urban_bal.tex,Tanzania,Individuals,3,7842,7842,+0.000
OLS_consumption_urban_bal.tex,Tanzania,Individuals,4,7842,7842,+0.000
OLS_consumption_urban_bal.tex,Tanzania,Individuals,5,1138,1138,+0.000
OLS_consumption_urban_bal.tex,Tanzania,Individuals,6,7842,7842,+0.000
OLS_consumption_urban_unb.tex,Indonesia,Urban,1,0.338,0.323,-0.015
OLS_consumption_urban_unb.tex,Indonesia,Urban,2,0.338,0.323,-0.015
OLS_consumption_urban_unb.tex,Indonesia,Urban,3,0.338,0.323,-0.015
OLS_consumption_urban_unb.tex,Indonesia,Urban,4,0.338,0.323,-0.015
OLS_consumption_urban_unb.tex,Indonesia,Urban,5,0.121,0.118,-0.003
OLS_consumption_urban_unb.tex,Indonesia,Urban,6,0.072,0.084,+0.012
OLS_consumption_urban_unb.tex,Indonesia,Observations,1,93037,92244,-793.000
OLS_consumption_urban_unb.tex,Indonesia,Observations,2,93037,92244,-793.000
OLS_consumption_urban_unb.tex,Indonesia,Observations,3,93037,92244,-793.000
