cell,traj_for_agg,pi_d,dbar_d,dbar0_d,delta_point_varA,delta_point_varB,contrib_gap_varA,contrib_gap_varB,contrib_value_d0,contrib_value_allrural_varA,contrib_value_allrural_varB
CHN_rf,10,0.0001961476599584,0.75,1.0,0.09687409560394,0.09687409560394,4.750406790824789e-06,4.750406790824789e-06,-4.750406790824789e-06,1.4251220372474366e-05,1.4251220372474366e-05
CHN_rf,11,0.0004315248519085,0.5,1.0,0.0779816954465688,0.0779816954465688,1.6825519789577173e-05,1.6825519789577173e-05,-1.6825519789577173e-05,1.6825519789577173e-05,1.6825519789577173e-05
CHN_rf,12,0.0003138362559335,0.75,1.0,0.0936105107306221,0.0936105107306221,7.344593050930291e-06,7.344593050930291e-06,-7.344593050930291e-06,2.2033779152790874e-05,2.2033779152790874e-05
CHN_rf,13,0.0022753128555176,0.75,1.0,0.1039419243475124,0.1039419243475124,5.9125099173783186e-05,5.9125099173783186e-05,-5.91250991737832e-05,0.00017737529752134959,0.00017737529752134959
CHN_rf,14,0.1017614059864266,1.0,1.0,0.10073266,0.0,0.0,0.0,0.0,0.010250697110352676,0.0
CHN_uf,-1,0.6026152482269503,0.862403457580835,0.8466347922030159,0.2860289200533713,0.2860289200533713,0.023716881512083083,0.023716881512083083,0.0027179721364665225,0.1486485071459658,0.1486485071459658
CHN_uf,1,0.0466533687943262,0.0,0.0,0.00596667,0.00596667,0.0002783652559840423,0.0002783652559840423,0.0,0.0,0.0
CHN_uf,2,0.0033244680851064,0.25,0.0,0.0636877860673777,0.0636877860673777,0.0001587960091440609,0.0001587960091440609,5.29320030480203e-05,5.29320030480203e-05,5.29320030480203e-05
CHN_uf,4,0.003656914893617,0.5,0.0,0.1868369620901278,0.1868369620901278,0.00034162343467277156,0.00034162343467277156,0.00034162343467277156,0.00034162343467277156,0.00034162343467277156
CHN_uf,6,0.0005540780141844,0.75,0.0,0.4148884096631688,0.4148884096631688,5.7470136533573113e-05,5.7470136533573113e-05,0.00017241040960071932,0.00017241040960071932,0.00017241040960071932
CHN_uf,7,0.0005540780141844,0.5,1.0,-0.443072828005138,-0.443072828005138,0.00012274845634007654,0.00012274845634007654,0.00012274845634007654,-0.00012274845634007654,-0.00012274845634007654
CHN_uf,8,0.000886524822695,0.75,1.0,-0.0239958650669014,-0.0239958650669014,1.595469751788593e-05,1.595469751788593e-05,5.318232505961977e-06,-1.595469751788593e-05,-1.595469751788593e-05
CHN_uf,9,0.000886524822695,0.75,1.0,-0.0218189114298743,-0.0218189114298743,1.4507254940075417e-05,1.4507254940075417e-05,4.835751646691805e-06,-1.4507254940075417e-05,-1.4507254940075417e-05
CHN_uf,10,0.3408687943262411,1.0,1.0,-3.7906634,0.0,1.2921188628546099,0.0,0.0,-1.2921188628546099,0.0
